Inscription	Museum Reference	Dimensions
PH 3	HM 1405 	[5,30]x [7,30] x 0,90 cm
PH 9	HM 1540	4,60 x 1,60 x 4,00 cm
PH 10	HM 45 11	 4,40 x 2,60 x 1,00 cm
PH 11	HM 1512	5,10 x 7,00 x 4.40 cm
PH 12	HM 15 13 + 1524 	[5,26] x 2,20 x0,80 cm
PH 16	HM 1547 	[5,50] 3.70 x 1,20 cm. 
PH 17	HM 1518 	[2,70] x 4,00 x 4,10 cm
PH 18	HM 1519	[80] x [1,90] x1,10cm
PH 19	HM 1520	[2,80] x [190] x4,10 cm
PH 22	HM 1523	[3,30] x 2,20 x 0,80 cm
PH 24	HM 1525	1,50 x 1,00 x 0,30 cm
PH 25	HM 1526	[3.80] x [3.70] x 1,00 cm
PH 26	HM 1517 	[3,60] x 2,10 x 0,50m. 
PH 27	HM 1528	[1,80] x [2.10] x 0.90 cm
ΡΗ 28	HM 1519 	[3.80] x [6,00] x 4,80 cm
PH 29	MSPH(?) 	[3,00]x[3,40] x 0,60 cm
PH 30	HM 1537	[3,80] x [3,00] x 0,80cm
PH ( ?) 31 	HM 1609	[6.70] x [5.20] x 9,90 cm
PYR 1	Nik. M. 6524	4,90 x 3,60 x 1,20 cm
TY 2 	HM 1374	6,60 x [8.70] x 1,00 cm
TY 3	HM 4373	9,00 x 14,00 x 1,20 cm
ZA 1	HM 85	4,90 x [6,70] x 4,20 cm
GO Wc 1	HM 83	 3,50 x 3.50 x 4,00 cm
Wa 102	HM435,1188	 
Wa 102	HM 474.14a 	
Wa 102	HM465.24 8 	
Wa 102	HM 465.29 a 	
Wa 102	HM470.16 x 	
Wa 103	HM Ab 9. 	
Wc 3001 	HM 79	2,00 x 2,20 x O,80 cm
Wc 3002 	HM 80	1,90 x 4,80 x 1,00 cm
Wc 3003 	HM 77	2,30 x 2,40 x 0,90 cm
Wc 3004 	HM 64	2,70 x 2,20 x 0,90 cm
Wc 3005 	HM 75-	2,30 x 2,20 x 0,90 cm
Wc 3006 	HM 66 -	[2,60] x2,60 x 0,90 cm
Wc 3007 	HM 76	2,30 x 2,30 x 0,70 cm
Wc 3008 	HM63- 	3,00 x 3,20 x 0,90 cm
Wc 3009 	HM 67 -	2,50 x 2,50 x 0,90 cm
Wc 3010 	HM 72	2,50 x 3,50 x 1,100cm
Wc 3011 	HM 74	8,20 x 2,40 x 1,10 cm.
Wc 3012 	HM 70	2,40 x2,70 x 0.70 cm
Wc 3013 	HM 71- 	3,00 x 2,90 x 0,80 cm
Wc 3014 	HM65- 	2,70 x 2,80 x 0,90 cm
Wc 3015 	HM 78- 	2,20 x 2,20 x 0,60 cm
Wc 3016 	HM 68	2,60 x2,50 x0,90 cm
Wc 3017 	HM 69- 	2.50 x 2,30 x 0,90 cm
Wc 3018 	HM ? 77	 
Wc 3019 	HM 73-	2,30 x 3,40 x 1.10 cm
Wc 3020 	HM 1348	1,90 x 4,80 x 4,00 cm
Wc 3021 	HM Bk	[2,0] x [2,70] x [0,30] cm
KE Wc 2	K 4.346 	2,80 x 2,90 x 1,60cm
KN Wb 33	HM 666- ca. 	[2,0]x 2,00 x [4,0] cm
KN Wc 3 	HM 413	[2,60] x [2.00] x 1,50 cm
KN Wc 26	Coll. ** A privé. 	3,00 x 2,50 x 1,20 cm
MA Wc < 5>	HM?	2,70 x 2,50 . 0,50 cm
PH W	HM 1491	2,90 x 1,90 x 2,20 cm
PH Wb	HM 677 	2,30 x 2.20 x [1,10]cm. 
PH Wb	HM 675	3.90 x 2.70 x [R,60] cm
PH Wc 37	HM 1481	3,10 x 3,00 x 0,80 cm. 
PH Wc 38	HM 1488	3,70 x 3,80 x 1,00 cm
PH Wc 39	HM 1490 	2,90 a 2,70 x 0,90 cm
PH Wc 44	HM 1533 	2,80 x 3,70 x 2.10cm
